title;author;publisher;isbn;barcode;category;year;language;shelf;copies;status;keywords;description
Afife;Ahmet Rasim;;;EBS-TR-0001;Türk Edebiyatı / Bağımsız;0;Türkçe;;1;Aktif;;
Bir Sefilenin Evrak-ı Metrukesi;Ahmet Rasim;;;EBS-TR-0002;Türk Edebiyatı / Bağımsız;0;Türkçe;;1;Aktif;;
Gam-ı Hicran;Ahmet Rasim;;;EBS-TR-0003;Türk Edebiyatı / Bağımsız;0;Türkçe;;1;Aktif;;
Gülüp Ağladıklarım;Ahmet Rasim;;;EBS-TR-0004;Türk Edebiyatı / Bağımsız;0;Türkçe;;1;Aktif;;
Güzel Eleni;Ahmet Rasim;;;EBS-TR-0005;Türk Edebiyatı / Bağımsız;0;Türkçe;;1;Aktif;;
